pool,metric,F,P,R,params
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,300.Markout,0.0,0.043478260869565216,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,netSwapFlow,0.03667745415318231,0.02564102564102564,0.06439393939393939,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,shannonsEntropy,0.03099361896080219,0.02040816326530612,0.06439393939393939,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,giniCoefficient,0.026315789473684213,0.03125,0.022727272727272728,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,300.Markout,0.052631578947368425,0.07142857142857142,0.041666666666666664,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,netSwapFlow,0.14285714285714288,0.1,0.25,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,shannonsEntropy,0.21276595744680848,0.14285714285714285,0.4166666666666667,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,giniCoefficient,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdcef968d416a41cdac0ed8702fac8128a64241a2,300.Markout,0.21374045801526714,0.4,0.14583333333333331,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdcef968d416a41cdac0ed8702fac8128a64241a2,netLPFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdcef968d416a41cdac0ed8702fac8128a64241a2,netSwapFlow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
0xdcef968d416a41cdac0ed8702fac8128a64241a2,sharkflow,0.0,0.0,0.0,"{'alpha': 0.1, 'beta': 1000, 'kappa': 1}"
