,giniCoefficient,shannonsEntropy,DAI.netSwapFlow,DAI.netLPFlow,USDC.netSwapFlow,USDC.netLPFlow,USDT.netSwapFlow,USDT.netLPFlow
2023-03-01 00:00:00,0.05421478202916698,1.577162158620131,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:01:00,0.052899255544858886,1.5775469650628047,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:02:00,0.0522281078306421,1.577746715442139,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:03:00,0.05358440985938519,1.5773453524310506,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:04:00,0.0522281078306421,1.577746715442139,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:05:00,0.05358440985938519,1.5773453524310506,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:06:00,0.0522281078306421,1.577746715442139,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:07:00,0.05358440985938519,1.5773453524310506,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:08:00,0.05160963820209271,1.5779157174478242,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:09:00,0.051729000973737026,1.5778523584481063,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:10:00,0.050991168573543334,1.5780847194535095,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:11:00,0.051729000973737026,1.5778523584481063,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:12:00,0.05098548730732413,1.578080421055417,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:13:00,0.05172521346292423,1.5778494928493783,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:14:00,0.05098548730732413,1.578080421055417,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:15:00,0.05172521346292423,1.5778494928493783,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:16:00,0.05098548730732413,1.578080421055417,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:17:00,0.05172521346292423,1.5778494928493783,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:18:00,0.05098548730732413,1.578080421055417,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:19:00,0.05135535038512418,1.5779649569523975,0.0,0,0.0,0.0,0.0,0.0
2023-03-01 00:20:00,0.05172521346292423,1.5778494928493783,0.0,0,0.0,0.0,0.0,0.0
